Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,17.441,17.807,17.441,17.715,413722,0
2005-02-28,17.685,17.792,17.503,17.585,324730,0
2005-03-01,17.577,17.738,17.516,17.57,427704,0
2005-03-02,17.54,17.638,17.433,17.585,478015,0
2005-03-03,17.602,17.67,17.303,17.516,509765,0
2005-03-04,17.577,17.715,17.516,17.607,731266,0
2005-03-07,17.433,17.815,17.363,17.754,686052,0
2005-03-08,17.723,17.754,17.624,17.73,623064,0
2005-03-09,17.73,17.73,17.448,17.448,419602,0
2005-03-10,17.485,17.594,17.394,17.577,281741,0
2005-03-11,17.594,17.715,17.411,17.411,234041,0
2005-03-14,17.411,17.792,17.386,17.678,542044,0
2005-03-15,17.678,17.792,17.417,17.433,370467,0
2005-03-16,17.441,17.455,16.85,16.973,787326,0
2005-03-17,17.166,17.256,17.087,17.173,933683,0
2005-03-18,17.173,17.173,16.92,17.035,886770,0
2005-03-21,16.945,16.973,16.775,16.833,409149,0
2005-03-22,16.911,16.965,16.544,16.553,559950,0
2005-03-23,16.56,16.743,16.437,16.691,669847,0
2005-03-24,16.684,16.874,16.59,16.598,467951,0
2005-03-28,16.684,16.702,16.413,16.477,508329,0
2005-03-29,16.46,16.513,16.163,16.186,613264,0
2005-03-30,16.138,16.437,16.122,16.329,470567,0
2005-03-31,16.314,16.56,16.314,16.56,606994,0
2005-04-01,16.669,16.702,16.314,16.499,495002,0
2005-04-04,16.394,16.505,16.146,16.499,532248,0
2005-04-05,16.53,16.59,16.378,16.544,731395,0
2005-04-06,16.621,16.636,16.437,16.538,916042,0
2005-04-07,16.53,16.761,16.513,16.691,1019404,0
2005-04-08,16.691,17.066,16.645,16.85,1173999,0
2005-04-11,16.874,16.973,16.833,16.904,670239,0
2005-04-12,16.833,17.441,16.697,17.32,1010780,0
2005-04-13,17.241,17.494,17.157,17.32,723818,0
2005-04-14,17.32,17.341,17.073,17.087,396732,0
2005-04-15,17.18,17.295,16.805,16.805,516432,0
2005-04-18,16.826,17.019,16.743,16.859,580202,0
2005-04-19,16.945,17.394,16.945,17.312,939304,0
2005-04-20,17.312,17.424,17.103,17.125,521140,0
2005-04-21,17.218,17.411,17.157,17.332,471740,0
2005-04-22,17.332,17.524,17.27,17.524,481544,0
2005-04-25,17.585,17.745,17.524,17.602,555113,0
2005-04-26,17.602,17.602,17.295,17.32,364068,0
2005-04-27,17.241,17.394,17.148,17.363,473441,0
2005-04-28,17.37,17.394,17.234,17.325,431099,0
2005-04-29,17.355,17.524,17.096,17.524,609343,0
2005-05-02,17.524,17.846,17.503,17.792,666973,0
2005-05-03,17.678,17.754,17.477,17.503,539825,0
2005-05-04,17.516,17.602,17.448,17.455,343157,0
2005-05-05,17.509,17.693,17.411,17.547,445344,0
2005-05-06,17.638,17.73,17.563,17.678,282261,0
2005-05-09,17.638,17.822,17.485,17.822,426135,0
2005-05-10,17.411,17.524,17.263,17.411,915389,0
2005-05-11,17.455,17.477,17.18,17.341,467562,0
2005-05-12,17.295,17.303,16.783,16.936,1118590,0
2005-05-13,16.98,17.05,16.484,16.71,499317,0
2005-05-16,16.653,17.134,16.612,17.087,612611,0
2005-05-17,16.987,17.348,16.911,17.303,456978,0
2005-05-18,17.355,17.455,17.204,17.248,454885,0
2005-05-19,17.312,17.494,17.312,17.37,292323,0
2005-05-20,17.37,17.469,17.286,17.332,439594,0
2005-05-23,17.312,17.424,17.256,17.355,340544,0
2005-05-24,17.37,17.464,17.241,17.325,371381,0
2005-05-25,17.248,17.411,17.103,17.256,411239,0
2005-05-26,17.37,17.524,17.363,17.469,254950,0
