Date,Open,High,Low,Close,Volume,OpenInt
2016-10-14,24.87,24.943,24.805,24.834,14586,0
2016-10-17,25.052,25.052,24.799,24.806,28538,0
2016-10-18,25.012,25.162,24.896,24.992,4453,0
2016-10-19,25.322,25.322,24.987,25.112,10081,0
2016-10-20,25.192,25.192,24.938,24.973,29059,0
2016-10-21,24.924,24.924,24.655,24.874,6600,0
2016-10-24,24.874,24.924,24.728,24.804,1232,0
2016-10-25,24.814,24.814,24.715,24.715,1886,0
2016-10-26,24.754,24.754,24.625,24.625,4449,0
2016-10-27,24.943,25.7,24.586,24.63,2891,0
2016-10-28,24.651,24.704,24.625,24.658,3751,0
2016-10-31,24.963,24.963,24.666,24.764,2043,0
2016-11-01,24.804,24.804,24.695,24.704,2110,0
2016-11-02,25.463,25.463,24.724,24.794,2624,0
2016-11-03,24.618,24.625,24.569,24.569,2366,0
2016-11-04,24.446,24.546,24.426,24.526,3887,0
2016-11-07,24.536,24.675,24.476,24.605,12309,0
2016-11-08,24.396,24.695,24.396,24.649,12959,0
2016-11-09,24.576,24.576,24.21,24.269,1715,0
2016-11-10,24.287,24.287,23.58,23.684,7872,0
2016-11-11,23.474,23.562,23.435,23.562,1674,0
2016-11-14,23.75,23.75,23.323,23.323,2275,0
2016-11-15,23.616,23.7,23.517,23.7,2802,0
2016-11-16,23.462,23.66,23.462,23.66,1655,0
2016-11-17,24.098,24.098,23.769,23.769,696,0
2016-11-18,23.809,23.809,23.671,23.679,1972,0
2016-11-21,24.078,24.078,23.711,23.821,1756,0
2016-11-22,23.873,23.873,23.858,23.858,731,0
2016-11-23,23.898,23.898,23.558,23.571,1485,0
2016-11-25,23.77,23.77,23.675,23.73,825,0
2016-11-28,23.61,23.72,23.61,23.7,1483,0
2016-11-29,23.988,23.988,23.74,23.74,427,0
2016-11-30,23.705,23.705,23.705,23.705,330,0
2016-12-01,23.55,23.55,23.382,23.445,1674,0
2016-12-02,23.539,23.539,23.473,23.473,545,0
2016-12-05,23.978,23.978,23.645,23.73,1422,0
2016-12-06,23.58,23.65,23.58,23.63,10824,0
2016-12-07,23.801,23.801,23.801,23.801,130,0
2016-12-08,23.59,23.987,23.59,23.987,569,0
2016-12-09,24.138,24.138,24.023,24.064,4763,0
2016-12-12,24.625,24.625,24.23,24.307,3511,0
2016-12-13,24.486,24.632,24.334,24.632,3180,0
2016-12-14,24.168,24.168,24.168,24.168,414,0
2016-12-15,23.878,23.878,23.682,23.828,3066,0
2016-12-16,24.108,24.108,24.073,24.073,601,0
2016-12-19,24.208,24.208,23.913,23.987,4586,0
2016-12-20,24.188,24.188,23.843,23.958,1425,0
