Date,Open,High,Low,Close,Volume,OpenInt
2017-02-21,25.514,25.534,25.514,25.534,606,0
2017-02-23,25.564,25.583,25.564,25.583,862,0
2017-02-24,25.395,25.455,25.385,25.455,1006,0
2017-02-27,25.465,25.513,25.465,25.513,1562,0
2017-02-28,25.465,25.465,25.465,25.465,778,0
2017-03-01,25.703,25.783,25.703,25.781,604,0
2017-03-02,25.674,25.683,25.67,25.683,504,0
2017-03-03,25.58,25.58,25.58,25.58,100,0
2017-03-06,25.501,25.573,25.501,25.573,503,0
2017-03-08,25.514,25.523,25.428,25.428,1631,0
2017-03-09,25.445,25.475,25.445,25.475,302,0
2017-03-10,25.613,25.613,25.552,25.552,704,0
2017-03-13,25.663,25.663,25.613,25.613,2198,0
2017-03-15,25.694,25.694,25.653,25.653,1424,0
2017-03-16,25.85,25.85,25.85,25.85,202,0
2017-03-17,25.885,25.885,25.872,25.872,1307,0
2017-03-20,25.803,25.803,25.803,25.803,1006,0
2017-03-21,25.941,25.941,25.607,25.607,1382,0
2017-03-22,25.533,25.533,25.533,25.533,100,0
2017-03-24,25.703,25.703,25.703,25.703,502,0
2017-03-30,25.817,25.817,25.817,25.817,1003,0
2017-03-31,25.788,25.847,25.778,25.778,1504,0
2017-04-04,25.718,25.718,25.718,25.718,1204,0
2017-04-05,25.856,25.856,25.856,25.856,201,0
2017-04-07,25.698,25.698,25.688,25.688,3513,0
2017-04-10,25.678,25.698,25.678,25.698,2508,0
2017-04-11,25.568,25.568,25.558,25.568,5419,0
2017-04-12,25.618,25.618,25.578,25.578,1605,0
2017-04-13,25.508,25.538,25.486,25.486,3513,0
2017-04-17,25.538,25.588,25.538,25.588,3144,0
2017-04-19,25.558,25.578,25.558,25.578,1505,0
2017-04-20,25.608,25.708,25.608,25.708,602,0
2017-04-21,25.648,25.648,25.608,25.608,632,0
2017-04-24,26.027,26.027,26.027,26.027,1003,0
2017-04-25,26.166,26.168,26.156,26.156,3011,0
2017-04-26,26.186,26.206,26.186,26.206,3011,0
2017-05-01,26.176,26.176,26.176,26.176,502,0
2017-05-04,26.236,26.236,26.236,26.236,502,0
2017-05-05,26.296,26.296,26.296,26.296,1003,0
2017-05-08,26.366,26.366,26.366,26.366,301,0
2017-05-10,26.376,26.376,26.376,26.376,502,0
2017-05-11,26.316,26.316,26.316,26.316,502,0
2017-05-12,26.356,26.356,26.356,26.356,502,0
2017-05-15,26.545,26.545,26.545,26.545,502,0
2017-05-16,26.597,26.597,26.595,26.595,682,0
2017-05-17,26.395,26.395,26.395,26.395,1003,0
2017-05-19,26.455,26.455,26.455,26.455,502,0
2017-05-26,26.694,26.694,26.694,26.694,1003,0
2017-06-05,26.924,26.924,26.924,26.924,100,0
2017-06-12,26.784,26.784,26.784,26.784,502,0
2017-06-13,27.003,27.003,26.974,26.974,414978,0
2017-06-15,26.704,26.704,26.704,26.704,1104937,0
2017-06-19,27.091,27.091,27.091,27.091,301,0
2017-06-23,26.973,26.973,26.973,26.973,201,0
2017-06-26,27.008,27.008,27.008,27.008,206699,0
2017-06-27,26.969,26.969,26.969,26.969,201,0
2017-07-03,26.939,26.939,26.939,26.939,100,0
2017-07-12,27.138,27.138,27.138,27.138,301,0
2017-07-19,27.437,27.437,27.437,27.437,381,0
2017-07-20,27.525,27.525,27.525,27.525,993,0
2017-07-27,27.527,27.537,27.527,27.537,410387,0
2017-08-07,27.636,27.646,27.636,27.646,602035,0
2017-08-08,27.746,27.746,27.706,27.706,201,0
2017-08-18,27.198,27.218,27.198,27.218,1103730,0
2017-08-29,27.278,27.347,27.258,27.268,114688,0
2017-09-11,27.746,27.826,27.746,27.826,698,0
2017-09-12,27.985,27.985,27.846,27.846,63515,0
2017-09-13,27.925,27.925,27.736,27.786,185077,0
2017-09-14,27.836,27.836,27.766,27.796,73147,0
2017-09-15,27.895,27.895,27.866,27.866,33012,0
2017-09-18,28.045,28.055,28.025,28.025,22075,0
2017-09-20,28.005,28.005,28.005,28.005,100,0
2017-09-21,28.031,28.105,28.031,28.095,83081,0
2017-09-25,28.015,28.015,28.015,28.015,251,0
2017-09-29,28.22,28.22,28.22,28.22,23800,0
2017-10-02,28.23,28.23,28.16,28.16,417500,0
2017-10-05,28.36,28.36,28.35,28.35,201,0
2017-10-13,28.7,28.7,28.647,28.647,604,0
2017-10-16,28.66,28.6601,28.66,28.6601,1001,0
2017-10-23,28.62,28.62,28.59,28.59,167100,0
2017-10-24,28.7,28.7,28.7,28.7,6260,0
2017-11-08,28.95,28.95,28.95,28.95,152,0
