Date,Open,High,Low,Close,Volume,OpenInt
2016-09-23,24.561,24.561,24.517,24.517,3483,0
2016-09-26,24.367,24.367,24.328,24.328,4656,0
2016-09-27,24.367,24.426,24.367,24.426,1139,0
2016-09-28,24.377,24.493,24.348,24.493,11390,0
2016-09-29,24.513,24.551,24.445,24.445,1918,0
2016-09-30,24.523,24.63,24.522,24.561,2694,0
2016-10-03,24.813,24.813,24.417,24.434,6904,0
2016-10-04,25.016,25.016,24.261,24.261,5335,0
2016-10-05,24.382,24.382,24.3,24.351,652,0
2016-10-06,24.273,24.291,24.253,24.282,8276,0
2016-10-07,24.3,24.348,24.3,24.348,1967,0
2016-10-10,24.426,24.426,24.426,24.426,1034,0
2016-10-11,24.175,24.175,24.078,24.125,2726,0
2016-10-12,24.088,24.203,24.088,24.175,1555,0
2016-10-13,24.049,24.106,24.049,24.106,1447,0
2016-10-14,24.175,24.175,24.175,24.175,1033,0
2016-10-17,24.367,24.367,24.049,24.049,1297,0
2016-10-18,24.078,24.145,24.078,24.145,1797,0
2016-10-19,24.455,24.455,24.115,24.116,413,0
2016-10-20,24.059,24.115,24.059,24.069,1033,0
2016-10-21,24.02,24.02,23.96,23.96,583,0
2016-10-24,24.328,24.328,24.145,24.145,725,0
2016-10-25,24.135,24.135,24.135,24.135,147,0
2016-10-26,24.159,24.159,24.155,24.155,876,0
2016-10-27,24.11,24.135,24.11,24.12,1817,0
2016-10-28,24.059,24.135,24.039,24.039,424,0
2016-10-31,24.1,24.1,24.1,24.1,104,0
2016-11-01,24.006,24.006,23.82,23.82,2202,0
2016-11-02,23.499,23.499,23.499,23.499,0,0
2016-11-03,23.748,23.748,23.711,23.711,1074,0
2016-11-04,23.711,23.711,23.711,23.711,0,0
2016-11-07,24.05,24.106,24.05,24.106,652,0
2016-11-08,24.093,24.212,24.093,24.212,708,0
2016-11-09,24.212,24.212,24.212,24.212,0,0
2016-11-10,24.968,24.968,24.658,24.842,2676,0
2016-11-11,24.745,24.745,24.745,24.745,806,0
2016-11-14,24.804,24.804,24.804,24.804,147,0
2016-11-15,24.861,24.978,24.861,24.978,526,0
2016-11-16,24.842,24.842,24.842,24.842,176,0
2016-11-17,24.988,24.988,24.988,24.988,180,0
2016-11-18,24.968,24.978,24.968,24.978,1089,0
2016-11-21,25.055,25.084,25.055,25.082,3306,0
2016-11-22,25.082,25.082,25.082,25.082,0,0
2016-11-23,25.18,25.18,25.17,25.17,955,0
2016-11-25,25.17,25.17,25.17,25.17,0,0
2016-11-28,25.615,25.615,25.238,25.238,699,0
2016-11-29,25.316,25.316,25.276,25.276,1148,0
2016-11-30,25.276,25.276,25.276,25.276,0,0
2016-12-01,25.256,25.257,25.256,25.257,1562,0
2016-12-02,25.344,25.344,25.257,25.257,537,0
2016-12-05,25.257,25.257,25.257,25.257,0,0
2016-12-06,25.335,25.466,25.335,25.466,557,0
2016-12-07,25.499,25.77,25.499,25.77,400,0
2016-12-08,25.877,25.877,25.877,25.877,725,0
2016-12-09,25.973,26.041,25.973,26.041,678,0
2016-12-12,26.041,26.041,26.041,26.041,0,0
2016-12-13,26.369,26.369,26.183,26.183,765,0
2016-12-14,26.514,26.514,25.983,25.983,567,0
2016-12-15,26.117,26.118,26.117,26.118,413,0
2016-12-16,26.132,26.132,26.132,26.132,413,0
2016-12-19,26.132,26.132,26.132,26.132,0,0
2016-12-20,26.226,26.226,26.226,26.226,858,0
2016-12-21,26.235,26.235,26.224,26.224,1087,0
2016-12-22,26.224,26.224,26.224,26.224,0,0
2016-12-23,26.224,26.224,26.224,26.224,0,0
2016-12-27,26.224,26.224,26.224,26.224,0,0
2016-12-28,25.882,25.882,25.882,25.882,0,0
2016-12-29,26.135,26.135,26.018,26.038,1317,0
2016-12-30,25.998,26.008,25.998,26.007,433,0
2017-01-03,25.843,25.843,25.843,25.843,0,0
2017-01-04,26.467,26.467,26.467,26.467,179,0
2017-01-05,26.467,26.467,26.467,26.467,0,0
2017-01-06,26.224,26.224,26.224,26.224,190,0
2017-01-09,26.125,26.125,26.099,26.099,310,0
2017-01-10,26.099,26.099,26.099,26.099,0,0
2017-01-11,26.066,26.086,26.066,26.086,320,0
2017-01-12,25.939,26.028,25.939,26.028,4236,0
2017-01-13,26.096,26.096,26.096,26.096,354,0
2017-01-17,25.608,25.969,25.608,25.959,3306,0
2017-01-18,25.959,25.959,25.959,25.959,0,0
2017-01-19,25.901,25.901,25.901,25.901,310,0
2017-01-20,26.057,26.057,26.057,26.057,103,0
2017-01-23,26.057,26.057,26.057,26.057,0,0
2017-01-24,26.066,26.075,26.066,26.066,3999,0
2017-01-25,26.066,26.066,26.066,26.066,0,0
2017-01-26,26.066,26.066,26.066,26.066,0,0
2017-01-27,26.233,26.233,26.233,26.233,103,0
2017-01-30,26.038,26.038,26.038,26.038,103,0
2017-01-31,25.901,25.901,25.901,25.901,0,0
2017-02-01,25.901,25.901,25.901,25.901,0,0
2017-02-02,25.901,25.901,25.901,25.901,0,0
2017-02-03,25.901,25.901,25.901,25.901,16,0
2017-02-06,25.901,25.901,25.901,25.901,0,0
2017-02-07,25.901,25.901,25.901,25.901,0,0
2017-02-08,25.901,25.901,25.901,25.901,0,0
2017-02-09,26.292,26.299,26.282,26.282,947,0
2017-02-10,26.282,26.282,26.282,26.282,0,0
2017-02-13,26.262,26.468,26.262,26.468,662,0
2017-02-14,26.468,26.468,26.468,26.468,0,0
2017-02-15,26.719,26.719,26.719,26.719,1077,0
2017-02-16,26.798,26.798,26.798,26.798,0,0
2017-02-17,26.798,26.798,26.798,26.798,0,0
2017-02-21,26.779,26.779,26.779,26.779,0,0
2017-02-22,26.915,26.915,26.915,26.915,3692,0
2017-02-23,26.915,26.915,26.915,26.915,0,0
2017-02-24,27.081,27.081,26.974,26.994,1384,0
2017-02-27,27.041,27.065,27.041,27.065,10494,0
2017-02-28,27.004,27.004,27.004,27.004,170,0
2017-03-01,27.004,27.004,27.004,27.004,0,0
2017-03-02,27.208,27.266,27.208,27.236,926,0
2017-03-03,27.236,27.236,27.236,27.236,0,0
2017-03-06,27.159,27.159,27.144,27.155,564,0
2017-03-07,26.974,27.041,26.974,27.041,1105,0
2017-03-08,27.08,27.08,27.08,27.08,113,0
2017-03-09,27.08,27.08,27.08,27.08,0,0
2017-03-10,27.08,27.08,27.08,27.08,0,0
2017-03-13,27.08,27.08,27.08,27.08,0,0
2017-03-14,27.08,27.08,27.08,27.08,0,0
2017-03-15,27.129,27.129,27.129,27.129,103,0
2017-03-16,27.129,27.129,27.129,27.129,0,0
2017-03-17,27.228,27.228,27.228,27.228,213,0
2017-03-20,27.129,27.129,27.129,27.129,0,0
2017-03-21,27.129,27.129,27.129,27.129,0,0
2017-03-22,26.672,26.672,26.672,26.672,103,0
2017-03-23,26.875,26.875,26.875,26.875,113,0
2017-03-24,26.875,26.875,26.875,26.875,0,0
2017-03-27,26.687,26.687,26.687,26.687,204,0
2017-03-28,26.687,26.687,26.687,26.687,0,0
2017-03-29,26.687,26.687,26.687,26.687,0,0
2017-03-30,26.687,26.687,26.687,26.687,0,0
2017-04-05,27.012,27.012,27.012,27.012,0,0
2017-04-06,26.747,26.747,26.747,26.747,0,0
2017-04-07,26.747,26.747,26.747,26.747,0,0
2017-04-10,26.727,26.879,26.727,26.879,708,0
2017-04-11,26.879,26.879,26.879,26.879,0,0
2017-04-12,26.879,26.879,26.879,26.879,0,0
2017-04-13,26.639,26.639,26.639,26.639,921,0
2017-04-17,26.639,26.639,26.639,26.639,0,0
2017-04-18,26.737,26.737,26.678,26.678,553,0
2017-04-19,26.706,26.706,26.502,26.705,608,0
2017-04-20,26.705,26.705,26.705,26.705,0,0
2017-04-21,26.628,26.628,26.628,26.628,153,0
2017-04-24,26.628,26.628,26.628,26.628,0,0
2017-04-25,27.626,27.626,27.626,27.626,0,0
2017-04-26,27.626,27.626,27.626,27.626,0,0
2017-04-27,26.512,26.512,26.512,26.512,0,0
2017-04-28,26.737,26.737,26.493,26.493,1126,0
2017-05-01,26.532,26.532,26.532,26.532,394,0
2017-05-02,26.415,26.415,26.415,26.415,123,0
2017-05-03,26.415,26.415,26.415,26.415,0,0
2017-05-04,26.415,26.415,26.415,26.415,0,0
2017-05-05,26.415,26.415,26.415,26.415,0,0
2017-05-08,26.415,26.415,26.415,26.415,0,0
2017-05-09,26.415,26.415,26.415,26.415,0,0
2017-05-10,26.482,26.85,26.482,26.85,330,0
2017-05-11,26.85,26.85,26.85,26.85,0,0
2017-05-12,26.85,26.85,26.85,26.85,0,0
2017-05-15,26.85,26.85,26.85,26.85,0,0
2017-05-16,26.85,26.85,26.85,26.85,0,0
2017-05-17,26.85,26.85,26.85,26.85,0,0
2017-05-18,26.85,26.85,26.85,26.85,0,0
2017-05-19,26.85,26.85,26.85,26.85,0,0
2017-05-22,26.444,26.547,26.444,26.547,788,0
2017-05-23,26.54,26.54,26.54,26.54,341,0
2017-05-24,26.532,26.532,26.532,26.532,440,0
2017-05-25,26.532,26.532,26.532,26.532,0,0
2017-05-26,26.532,26.532,26.532,26.532,0,0
2017-05-30,26.975,26.975,26.668,26.71,922,0
2017-05-31,26.71,26.71,26.71,26.71,0,0
2017-06-01,26.835,26.875,26.835,26.875,225,0
2017-06-02,26.875,26.875,26.875,26.875,0,0
2017-06-05,26.904,27.114,26.904,27.114,712,0
2017-06-06,27.114,27.114,27.114,27.114,0,0
2017-06-07,27.114,27.114,27.114,27.114,0,0
2017-06-08,27.114,27.114,27.114,27.114,0,0
2017-06-09,26.835,26.923,26.835,26.923,1609,0
2017-06-12,26.835,26.835,26.835,26.835,0,0
2017-06-13,26.835,26.835,26.835,26.835,0,0
2017-06-14,27.04,27.04,27.039,27.039,855,0
2017-06-15,27.039,27.039,27.039,27.039,0,0
2017-06-16,27.245,27.245,27.245,27.245,103,0
2017-06-19,27.46,27.475,27.334,27.334,818,0
2017-06-20,27.334,27.334,27.334,27.334,0,0
2017-06-21,27.334,27.334,27.334,27.334,2,0
2017-06-22,27.255,27.255,27.255,27.255,0,0
2017-06-23,27.255,27.255,27.255,27.255,0,0
2017-06-26,27.255,27.255,27.255,27.255,0,0
2017-06-27,27.255,27.255,27.255,27.255,0,0
2017-06-28,27.255,27.255,27.255,27.255,0,0
2017-06-29,27.255,27.255,27.255,27.255,0,0
2017-06-30,27.255,27.255,27.255,27.255,0,0
2017-07-03,27.231,27.231,27.221,27.221,215,0
2017-07-05,27.747,27.747,27.747,27.747,0,0
2017-07-06,26.827,26.827,26.827,26.827,0,0
