Date,Open,High,Low,Close,Volume,OpenInt
2005-02-25,10.791,10.817,10.707,10.723,7294,0
2005-02-28,10.707,10.868,10.707,10.8,1423,0
2005-03-01,10.739,10.927,10.739,10.91,7902,0
2005-03-02,10.927,10.966,10.902,10.936,7717,0
2005-03-03,10.927,10.927,10.774,10.774,3431,0
2005-03-04,10.875,11.406,10.875,11.178,24846,0
2005-03-07,11.178,11.542,11.112,11.274,13598,0
2005-03-08,11.097,11.383,11.097,11.214,7280,0
2005-03-09,11.146,11.265,10.707,11.01,29859,0
2005-03-10,11.003,11.17,10.707,11.17,13826,0
2005-03-11,11.274,11.274,11.164,11.214,30292,0
2005-03-14,10.716,11.224,10.716,11.214,25376,0
2005-03-15,11.072,11.146,10.86,10.902,3973,0
2005-03-16,11.063,11.063,10.707,10.732,18448,0
2005-03-17,10.716,11.072,10.614,10.707,7120,0
2005-03-18,10.716,10.716,10.563,10.571,9825,0
2005-03-21,10.622,10.757,10.43,10.437,6791,0
2005-03-22,10.86,10.985,10.563,10.985,9434,0
2005-03-23,10.766,10.893,10.672,10.817,10812,0
2005-03-24,10.875,10.875,10.64,10.817,2369,0
2005-03-28,10.622,10.791,10.622,10.757,19720,0
2005-03-29,10.834,10.885,10.757,10.757,4587,0
2005-03-30,10.59,10.975,10.59,10.791,8859,0
2005-03-31,10.766,10.766,10.716,10.732,19127,0
2005-04-01,10.59,10.716,10.487,10.52,5360,0
2005-04-04,10.563,10.563,10.422,10.43,17072,0
2005-04-05,10.422,10.422,10.201,10.394,4691,0
2005-04-06,10.554,10.707,10.478,10.58,5279,0
2005-04-08,10.58,10.608,10.284,10.563,3461,0
2005-04-11,10.658,10.757,10.614,10.757,2573,0
2005-04-12,10.875,10.985,10.422,10.985,24043,0
2005-04-13,11.323,11.833,10.707,10.994,55707,0
2005-04-14,10.985,11.045,10.985,11.045,25807,0
2005-04-15,11.214,11.603,11.01,11.265,31676,0
2005-04-18,11.603,11.942,11.178,11.721,39043,0
2005-04-19,11.942,12.871,11.942,12.431,99609,0
2005-04-20,12.399,12.498,11.975,12.399,90432,0
2005-04-21,12.253,12.498,12.253,12.446,44574,0
2005-04-22,12.338,12.507,12.279,12.279,53424,0
2005-04-25,11.975,12.229,11.578,11.833,14799,0
2005-04-26,11.248,12.075,11.248,11.838,36572,0
2005-04-27,11.833,12.101,11.702,11.879,8843,0
2005-04-28,11.781,11.949,11.702,11.702,8305,0
2005-04-29,11.702,11.772,11.443,11.443,4799,0
2005-05-02,11.433,11.637,11.406,11.542,9202,0
2005-05-03,11.587,11.587,11.534,11.534,8930,0
2005-05-04,11.587,11.587,11.501,11.542,16588,0
2005-05-05,11.603,11.603,11.527,11.595,19000,0
2005-05-06,11.613,11.613,10.25,11.196,58541,0
2005-05-09,11.196,11.415,11.045,11.214,13176,0
2005-05-10,11.433,11.433,11.178,11.415,8521,0
2005-05-11,11.492,11.492,11.406,11.433,13165,0
2005-05-12,11.485,11.519,11.433,11.501,10074,0
2005-05-13,12.439,12.439,11.406,11.653,50418,0
2005-05-16,11.661,11.942,11.661,11.702,20078,0
2005-05-17,11.747,12.016,11.73,11.906,29301,0
2005-05-18,11.747,11.888,11.694,11.833,12108,0
