Date,Open,High,Low,Close,Volume,OpenInt
2015-08-03,27.65,28.82,25.72,27.74,144677,0
2015-08-04,27,27.03,24.61,25.8,129600,0
2015-08-05,27.11,27.47,24.56,25.24,107600,0
2015-08-06,24.81,26.95,22.99,26.95,73134,0
2015-08-07,27.5,27.5,24.2,26.5,52200,0
2015-08-10,25.76,26.5,25.46,26.14,51400,0
2015-08-11,25.44,26.02,24.56,25.38,140951,0
2015-08-12,25,26.21,25,25.99,172600,0
2015-08-13,26,26.6,25.76,26.2,229500,0
2015-08-14,26.13,26.21,24.66,25.19,103300,0
2015-08-17,26.58,26.72,24.35,24.8,2091500,0
2015-08-18,24.65,26.95,24.5,26.06,3141000,0
2015-08-19,25.6,27.09,25.49,26.77,1750300,0
2015-08-20,26.4,26.5,25.03,25.17,1584900,0
2015-08-21,24.89,26.85,24.5,25.18,3243500,0
2015-08-24,23.93,25.64,23,24.37,3408162,0
2015-08-25,25.49,25.54,24.29,24.6,2027500,0
2015-08-26,25.05,26.25,24.21,25,2088600,0
2015-08-27,25.29,25.45,24.64,25.16,1641500,0
2015-08-28,25.12,25.72,24.71,24.86,829200,0
2015-08-31,24.66,24.92,24.24,24.66,1157500,0
2015-09-01,24.05,24.89,24.01,24.43,915200,0
2015-09-02,24.83,26.2,24.83,25.32,1687700,0
2015-09-03,25.26,25.73,24.63,25.51,903500,0
2015-09-04,25.17,25.49,24.84,25.07,733000,0
2015-09-08,25.48,25.85,25.23,25.24,713200,0
2015-09-09,25.49,26.1,24.87,25.07,1404600,0
2015-09-10,24.98,26.06,24.9,25.45,1083873,0
2015-09-11,25.33,26,24.7,25.87,1554500,0
2015-09-14,25.9,26.5,25.75,26.12,602500,0
2015-09-15,26.33,27.79,26.12,27.65,1745900,0
2015-09-16,27.62,27.95,27.35,27.45,1229900,0
2015-09-17,27.61,28.06,27.27,27.91,1120100,0
2015-09-18,27.5,28.54,26.76,28.07,2974000,0
2015-09-21,28.15,28.35,27.27,27.36,1084000,0
2015-09-22,27.08,27.67,26.88,27.26,1014400,0
2015-09-23,27.35,27.61,27,27.49,490100,0
2015-09-24,27.41,27.51,27.05,27.26,677987,0
2015-09-25,27.58,28.51,27.57,27.9,1277500,0
2015-09-28,27.63,28.335,26.79,27.58,1530623,0
2015-09-29,27.56,28.01,27.18,27.5,986900,0
2015-09-30,27.7,27.87,26.53,27,1524800,0
2015-10-01,27.03,27.12,25.67,26.11,1632800,0
2015-10-02,25.84,26.9,25.7,26.56,1115100,0
2015-10-05,26.55,27.47,26.42,27.12,515623,0
2015-10-06,26.89,28.96,26.89,28.55,1142700,0
2015-10-07,28.72,30.13,28.12,29.99,976700,0
2015-10-08,29.78,31.75,29.66,31.6,2383400,0
2015-10-09,31.61,33.52,31.51,33.45,2462900,0
2015-10-12,33.37,33.62,31.11,32,1386735,0
2015-10-13,31.54,32.97,31.36,31.65,1065900,0
2015-10-14,31.75,32.35,31.38,31.87,790000,0
2015-10-15,31.99,32.63,30.81,31.15,1157400,0
2015-10-16,31.35,31.59,30.13,30.45,1238100,0
2015-10-19,30.47,31.12,30.32,30.66,851900,0
2015-10-20,30.62,31.58,30.62,31.16,513868,0
2015-10-21,30.9,31.7,29.11,29.89,1368700,0
2015-10-22,30.07,30.85,29.87,29.95,991100,0
2015-10-23,30.58,30.8,29.9,29.99,539600,0
2015-10-26,30.03,30.24,29.4,29.43,1001400,0
2015-10-27,29.37,29.67,27.85,28.46,1659500,0
2015-10-28,28.62,28.7,27.83,28.23,1210900,0
2015-10-29,28.57,28.93,27.4,27.57,960900,0
2015-10-30,27.49,28.03,26.39,27.69,1850800,0
2015-11-02,27.75,29.426,27.75,28.46,2002442,0
2015-11-03,28.29,30.25,28.22,29.5,3770200,0
2015-11-04,27.8,28.33,26.51,27.65,6257566,0
2015-11-05,27.64,27.64,25.31,25.79,2527200,0
2015-11-06,26.05,26.25,24.83,25.48,1946000,0
2015-11-09,25.53,25.92,25.25,25.3,791997,0
2015-11-10,25.31,25.31,24.2,24.4,1747800,0
2015-11-11,24.57,24.75,24.07,24.36,840300,0
2015-11-12,24.33,24.39,23.64,23.79,1118600,0
2015-11-13,23.66,23.87,23.11,23.27,1078400,0
2015-11-16,23.18,24.11,23.16,23.73,766900,0
2015-11-17,23.67,24.86,23.38,24.71,1363000,0
2015-11-18,24.71,25.46,24.59,25.28,758300,0
2015-11-19,25.18,25.56,25.05,25.23,654700,0
2015-11-20,25.2,25.8,25.01,25.29,625900,0
2015-11-23,25.04,25.33,24.23,24.48,929200,0
2015-11-24,23.99,24.85,23.85,24.81,508100,0
2015-11-25,24.74,25.06,24.38,24.94,605700,0
2015-11-27,24.77,24.93,24.25,24.55,272400,0
2015-11-30,24.82,25.25,24.16,24.65,1432200,0
2015-12-01,24.51,24.83,24.09,24.1,1206740,0
2015-12-02,24.2,24.87,24.18,24.65,675788,0
2015-12-03,24.76,25,23.59,24.5,789746,0
2015-12-04,24.58,24.8,23.91,24.66,663300,0
2015-12-07,24.5,25.19,24.25,24.95,841100,0
2015-12-08,24.42,25.06,24.25,24.71,1155026,0
2015-12-09,24.63,24.89,23.26,23.57,1805700,0
2015-12-10,23.55,23.74,23,23.46,1114800,0
2015-12-11,23.35,24.39,23.14,23.28,1495200,0
2015-12-14,23.15,24.05,22.8,23.55,1106488,0
2015-12-15,23.72,24.87,23.49,24.56,1739400,0
2015-12-16,24.8,25.59,24.63,25.46,1390900,0
2015-12-17,25.46,25.46,24.03,24.43,1359900,0
2015-12-18,24.39,24.93,24.09,24.61,1107900,0
2015-12-21,24.86,25.06,24.05,24.09,915900,0
2015-12-22,24.05,24.49,23.36,23.95,847144,0
2015-12-23,23.92,24.23,23.62,24.08,978200,0
2015-12-24,24,24.6,23.93,24.41,297520,0
2015-12-28,24.27,24.46,23.82,23.95,345334,0
2015-12-29,23.93,24.51,23.88,24.17,526604,0
2015-12-30,24.18,24.82,24.17,24.24,435085,0
2015-12-31,24.21,24.24,23.48,23.48,900760,0
2016-01-04,23.08,23.33,22.07,22.11,1317228,0
2016-01-05,22.21,22.87,21.35,21.99,1184939,0
2016-01-06,21.72,22.335,21.5,21.96,955150,0
2016-01-07,21.49,22.02,21.43,21.5,1043325,0
2016-01-08,21.66,22.395,21.5908,22.1,951342,0
2016-01-11,22.28,22.35,21.89,22.16,1214551,0
2016-01-12,22.17,22.51,21.73,22.34,1127228,0
2016-01-13,22.33,23,21.31,21.45,2194086,0
2016-01-14,21.4,21.49,19.83,20.77,2395622,0
2016-01-15,20.4,21.2,20.16,20.83,3191120,0
2016-01-19,20.93,21.06,20.19,20.67,3169000,0
2016-01-20,20.59,20.72,19.08,19.53,2632470,0
2016-01-21,19.69,19.73,18.8501,18.94,1867313,0
2016-01-22,19.12,20.31,19.12,20.18,1517362,0
2016-01-25,20.08,20.74,19.66,19.75,964237,0
2016-01-26,19.65,20.17,19.15,20.12,1970873,0
2016-01-27,20.01,20.55,19.585,19.65,906899,0
2016-01-28,19.99,20.32,19.475,19.5,1301030,0
2016-01-29,19.52,20.52,19.52,20.5,1146900,0
2016-02-01,20.47,20.51,19.06,19.25,1818756,0
2016-02-02,19.06,19.37,17.67,17.92,1251736,0
2016-02-03,18,18.64,17.28,17.65,1400293,0
2016-02-04,17.62,18.46,17.16,18.43,1694799,0
2016-02-05,18.34,18.34,16.71,16.92,3024270,0
2016-02-08,16.65,16.83,15.36,16.01,4135607,0
2016-02-09,15.67,16.61,15.62,16.2,2839761,0
2016-02-10,16.2,17.07,16.09,16.78,1895122,0
2016-02-11,16.33,18.78,16.28,17.97,4315054,0
2016-02-12,18,18.56,16.61,17.81,6235135,0
2016-02-16,17.92,19.4,17.21,18.83,2519114,0
2016-02-17,18.94,20.34,18.65,19.38,1688325,0
2016-02-18,19.29,19.95,18.84,19.55,1430397,0
2016-02-19,19.73,20.48,19.12,20.31,1388035,0
2016-02-22,20.37,20.82,19.5,20,2473747,0
2016-02-23,20.5,22.14,20.45,20.77,2727885,0
2016-02-24,20.5,20.77,19.27,20.2,1870516,0
2016-02-25,20.34,21.25,20.34,21,1589570,0
2016-02-26,21,21.26,20.31,21.01,1470287,0
2016-02-29,21.1,22.0199,20.97,21.6,2196378,0
2016-03-01,22.27,22.65,21.0801,21.46,2081201,0
2016-03-02,21.83,22.52,21.82,22.38,1447142,0
2016-03-03,22.37,24.01,22.3,23.37,2078284,0
2016-03-04,23.37,24.16,22.75,23.28,1147513,0
2016-03-07,23,24.19,23,23.55,1075444,0
2016-03-08,23.3,24.64,23.23,24.27,1316625,0
2016-03-09,24.1,24.13,22.29,22.44,1946133,0
2016-03-10,22.67,22.75,21.86,22.52,1141827,0
2016-03-11,22.72,23.12,22.46,23.08,680601,0
2016-03-14,22.7,23.02,22.56,22.87,638790,0
2016-03-15,22.64,22.64,21.69,21.81,1096444,0
2016-03-16,21.65,22.98,21.62,22.77,600160,0
2016-03-17,22.6,22.93,22.17,22.2,814575,0
2016-03-18,22.46,22.86,22.09,22.32,1313472,0
2016-03-21,22.16,23.09,22.0125,22.76,834766,0
2016-03-22,23.6,24.5,22.81,23.02,2375681,0
2016-03-23,22.83,23.47,22.09,22.36,1537451,0
2016-03-24,22.13,22.685,22.02,22.53,845662,0
2016-03-28,22.35,22.78,22.04,22.41,645195,0
2016-03-29,22.26,23.56,22.26,23.34,1153172,0
2016-03-30,23.49,23.97,23.04,23.05,694867,0
2016-03-31,23.05,23.995,22.81,23.73,1337804,0
2016-04-01,23.95,23.95,22.86,23.45,1285206,0
2016-04-04,23.25,23.43,22,22.09,1300112,0
2016-04-05,21.73,21.87,20.87,21.08,1948252,0
2016-04-06,21.21,22,20.05,21.26,1972864,0
2016-04-07,21.19,21.29,20.7,20.73,1211450,0
2016-04-08,20.86,21.22,20.57,21.09,1689454,0
2016-04-11,21.09,21.27,19.63,19.94,1279623,0
2016-04-12,20,20.74,19.99,20.68,952253,0
2016-04-13,20.85,21.64,20.6915,21.63,593748,0
2016-04-14,21.63,21.89,21.42,21.63,749501,0
2016-04-15,21.52,21.98,21.47,21.85,363200,0
2016-04-18,21.7,22.12,21.37,21.62,536866,0
2016-04-19,21.57,22.53,21.57,22.28,720179,0
2016-04-20,22.38,23.91,22.1,23.24,1520240,0
2016-04-21,23.28,23.86,23.23,23.33,709818,0
2016-04-22,23.22,25.05,23.22,24.85,2030190,0
2016-04-25,24.6,24.87,24.05,24.86,955926,0
2016-04-26,25.03,26.27,24.63,24.85,2397086,0
2016-04-27,24.74,25.22,24.41,24.74,937353,0
2016-04-28,24.24,24.89,23.87,23.98,807382,0
2016-04-29,23.96,24.78,23.33,24.04,1342984,0
2016-05-02,24.04,25.35,23.42,25.09,1765529,0
2016-05-03,25.18,25.53,24.5908,25.06,2769706,0
2016-05-04,28.97,29.7,28,28.08,8122154,0
2016-05-05,28.15,28.46,26.5,26.72,2436236,0
2016-05-06,26.36,26.89,26.245,26.63,1269546,0
2016-05-09,26.56,26.8599,26.02,26.49,719433,0
2016-05-10,26.74,27.65,26.62,27.19,956664,0
2016-05-11,27.06,27.61,26.7711,27.24,482825,0
2016-05-12,27.24,27.8282,27.21,27.61,570333,0
2016-05-13,27.66,28.27,27.29,27.65,773146,0
2016-05-16,27.74,28.49,27.45,28.36,1129610,0
2016-05-17,28.35,28.95,27.92,28,1052702,0
2016-05-18,27.94,28.95,26.15,28.78,3387902,0
2016-05-19,28.42,29.42,26.7,27.34,1924120,0
2016-05-20,27.4,27.875,26.85,27.79,1402497,0
2016-05-23,27.74,28.34,27.585,27.76,817524,0
2016-05-24,27.9,28.85,27.65,28.51,1097860,0
2016-05-25,28.4,28.99,28.05,28.62,578870,0
2016-05-26,28.45,28.72,27.77,28.33,729148,0
2016-05-27,28.08,29.3699,28.08,28.6,1091351,0
2016-05-31,28.68,28.95,28.38,28.68,1385272,0
2016-06-01,28.36,28.6,27.76,28.34,1286115,0
2016-06-02,28.17,29.25,28.17,29.14,1521610,0
2016-06-03,28.89,29.45,28.38,29.33,710984,0
2016-06-06,29.44,30.64,29.4,30.33,1648331,0
2016-06-07,32.8,33.25,31.77,32.07,4063310,0
