Date,Open,High,Low,Close,Volume,OpenInt
2001-08-08,28.184,28.232,26.618,27.225,5558323,0
2001-08-09,26.665,26.997,26.143,26.911,3158167,0
2001-08-10,26.571,26.903,26.029,26.571,3365553,0
2001-08-13,26.333,26.427,25.479,25.906,5068619,0
2001-08-14,25.906,26.665,25.812,26.286,3865059,0
2001-08-15,26.333,26.949,26.286,26.647,2763197,0
2001-08-16,26.6,26.665,25.906,26.665,2246829,0
2001-08-17,26.286,26.571,25.174,26.571,1841217,0
2001-08-20,26.238,26.305,25.431,25.812,2177806,0
2001-08-21,25.812,26.039,25.717,25.943,1971154,0
2001-08-22,25.717,25.868,25.054,25.868,2687008,0
2001-08-23,25.764,25.802,25.366,25.384,2469077,0
2001-08-24,24.91,25.357,24.719,25.329,2012462,0
2001-08-27,25.241,25.431,24.957,25.3,1540459,0
2001-08-28,24.767,24.957,24.54,24.69,2506278,0
2001-08-29,24.69,25.384,24.626,25.054,2129222,0
2001-08-30,25.054,25.906,25.054,25.574,2574459,0
2001-08-31,25.431,25.812,25.146,25.812,1525391,0
2001-09-04,25.717,26.571,25.707,26.36,1788527,0
2001-09-05,26.238,26.409,25.764,26.238,1744057,0
2001-09-06,26.143,26.192,25.621,25.85,2140184,0
2001-09-07,25.146,26.446,25.054,25.3,1842271,0
2001-09-10,25.146,25.461,24.957,25.089,1074992,0
2001-09-17,23.818,24.709,23.514,23.96,1754803,0
2001-09-18,23.96,24.066,23.438,23.818,1778515,0
2001-09-19,23.534,24.786,23.534,23.743,1575130,0
2001-09-20,23.724,25.138,23.59,24.436,2100876,0
2001-09-21,23.724,25.479,23.676,24.53,2050608,0
2001-09-24,24.482,25.668,24.482,25.339,1900649,0
2001-09-25,25.339,25.611,24.671,24.957,1671975,0
2001-09-26,24.91,25.611,24.91,25.431,1075520,0
2001-09-27,25.241,26.192,25.241,25.621,1725405,0
2001-09-28,25.621,26.571,25.574,26.333,1073834,0
2001-10-01,26.333,27.196,26.096,26.675,1148970,0
2001-10-02,26.714,27.282,26.685,27.092,1237594,0
2001-10-03,27.092,27.423,26.893,27.329,858011,0
2001-10-04,27.329,27.52,26.864,27.386,1306305,0
2001-10-05,27.233,27.71,27.092,27.567,1134320,0
2001-10-08,27.423,27.462,27.045,27.253,420046,0
2001-10-09,27.045,27.272,27.045,27.243,839992,0
2001-10-10,27.189,27.805,27.15,27.529,755689,0
2001-10-11,27.529,28.232,27.529,27.917,1108715,0
2001-10-12,27.423,28.298,27.423,28.298,1287231,0
2001-10-15,28.223,28.515,28.06,28.251,759690,0
2001-10-16,28.184,28.448,27.72,28.42,1108608,0
2001-10-17,28.448,28.505,28.232,28.438,1765556,0
2001-10-18,27.045,27.567,27.035,27.349,1768190,0
2001-10-19,27.376,27.945,27.376,27.879,622379,0
2001-10-22,27.898,28.26,27.786,28.232,486968,0
2001-10-23,28.232,28.468,28.232,28.27,1072357,0
2001-10-24,28.326,28.563,28.155,28.42,557465,0
2001-10-25,28.326,28.678,27.898,28.078,741674,0
